candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required,incorporated_alias_batch,incorporated_at
씬지록신정75마이크로그램(레보티록신나트륨수화물),레보티록신,201706147,씬지록신정75마이크로그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201706147,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-4,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch4,2026-06-11
씬지록신정88마이크로그램(레보티록신나트륨수화물),레보티록신,201706861,씬지록신정88마이크로그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201706861,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-4,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch4,2026-06-11
레보건정500밀리그램(레보플록사신수화물),레보플록사신,201801057,레보건정500밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201801057,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-4,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch4,2026-06-11
레보라신정(레보플록사신수화물),레보플록사신,201207402,레보라신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201207402,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-4,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch4,2026-06-11
레보미신정(레보플록사신수화물),레보플록사신,200200467,레보미신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200200467,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-4,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch4,2026-06-11
레보바이정(레보플록사신수화물),레보플록사신,201302165,레보바이정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201302165,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-4,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch4,2026-06-11
레보바이정250밀리그램(레보플록사신수화물),레보플록사신,201902151,레보바이정250밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201902151,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-4,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch4,2026-06-11
레보바이정500밀리그램(레보플록사신수화물),레보플록사신,201902152,레보바이정500밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201902152,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-4,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch4,2026-06-11
시록신정250mg(시프로플록사신염산염),시프로플록사신,200401235,시록신정250mg(시프로플록사신염산염),시프로플록사신염산염,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200401235,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-4,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch4,2026-06-11
시폭사신정250밀리그람(시프로플록사신염산염수화물),시프로플록사신,199100750,시폭사신정250밀리그람(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199100750,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-4,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch4,2026-06-11
