candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required
레보에이블정500밀리그램(레보플록사신수화물),레보플록사신,201902167,레보에이블정500밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201902167,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.6-batch-6,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
레보에프정500밀리그램(레보플록사신수화물),레보플록사신,201701554,레보에프정500밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201701554,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.6-batch-6,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
레보카신정(레보플록사신수화물),레보플록사신,199800454,레보카신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199800454,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.6-batch-6,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
레보카신정750밀리그램(레보플록사신수화물),레보플록사신,201406037,레보카신정750밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201406037,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.6-batch-6,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
레보타신정100밀리그램(레보플록사신수화물),레보플록사신,201801895,레보타신정100밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201801895,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.6-batch-6,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
레보탐정(레보플록사신),레보플록사신,199801012,레보탐정(레보플록사신),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199801012,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.6-batch-6,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
레보투정100밀리그램(레보플록사신수화물),레보플록사신,201901897,레보투정100밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201901897,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.6-batch-6,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
레보투정500밀리그램(레보플록사신수화물),레보플록사신,201901896,레보투정500밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201901896,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.6-batch-6,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
레보트라정(레보플록사신수화물),레보플록사신,201401334,레보트라정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201401334,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.6-batch-6,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
레보펙신정(레보플록사신수화물),레보플록사신,199400369,레보펙신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199400369,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.6-batch-6,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
