candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required,incorporated_alias_batch,incorporated_at
레복사신정100밀리그램(레보플록사신수화물),레보플록사신,200202193,레복사신정100밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200202193,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-7,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch7,2026-06-12
레복사신정250밀리그램(레보플록사신수화물),레보플록사신,200905938,레복사신정250밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200905938,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-7,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch7,2026-06-12
레복사신정500밀리그램(레보플록사신수화물),레보플록사신,200805811,레복사신정500밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200805811,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-7,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch7,2026-06-12
레브록신정(레보플록사신수화물),레보플록사신,199801473,레브록신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199801473,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-7,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch7,2026-06-12
레비신정100mg(레보플록사신),레보플록사신,199803884,레비신정100mg(레보플록사신),레보플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199803884,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-7,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch7,2026-06-12
레비신정500mg(레보플록사신수화물),레보플록사신,201708021,레비신정500mg(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201708021,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-7,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch7,2026-06-12
레사크라정100밀리그램(레보플록사신수화물),레보플록사신,201502450,레사크라정100밀리그램(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201502450,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-7,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch7,2026-06-12
레크로신정(레보플록사신수화물),레보플록사신,201404678,레크로신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201404678,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-7,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch7,2026-06-12
레펙신정(레보플록사신수화물),레보플록사신,199900121,레펙신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900121,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-7,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch7,2026-06-12
레포신정100밀리그램(레보플록사신),레보플록사신,200806028,레포신정100밀리그램(레보플록사신),레보플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200806028,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-7,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch7,2026-06-12
