candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required,incorporated_alias_batch,incorporated_at
바이독시정(독시사이클린수화물),독시사이클린,201506123,바이독시정(독시사이클린수화물),독시사이클린수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201506123,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-3,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch3,2026-06-11
영풍독시사이클린정100밀리그램,독시사이클린,199502147,영풍독시사이클린정100밀리그램,독시사이클린수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199502147,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-3,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch3,2026-06-11
씬지록신정112마이크로그램(레보티록신나트륨수화물),레보티록신,202500938,씬지록신정112마이크로그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202500938,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-3,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch3,2026-06-11
씬지록신정125마이크로그램(레보티록신나트륨수화물),레보티록신,201706645,씬지록신정125마이크로그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201706645,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-3,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch3,2026-06-11
씬지록신정137마이크로그램(레보티록신나트륨수화물),레보티록신,202500949,씬지록신정137마이크로그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202500949,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-3,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch3,2026-06-11
씬지록신정25마이크로그램(레보티록신나트륨수화물),레보티록신,201706671,씬지록신정25마이크로그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201706671,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-3,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch3,2026-06-11
씬지록신정50마이크로그램(레보티록신나트륨수화물),레보티록신,200301117,씬지록신정50마이크로그램(레보티록신나트륨수화물),레보티록신나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200301117,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-3,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch3,2026-06-11
라이록사신정(레보플록사신수화물),레보플록사신,200101393,라이록사신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200101393,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-3,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch3,2026-06-11
레나신정(레보플록사신수화물),레보플록사신,201210744,레나신정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201210744,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-3,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch3,2026-06-11
레노보정(레보플록사신수화물),레보플록사신,201309123,레노보정(레보플록사신수화물),레보플록사신수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201309123,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-3,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.5-batch3,2026-06-11
